2025-03-28 09:00:36,175 - LOG - INFO - =======Option used=======
2025-03-28 17:20:16,648 - LOG - INFO - Epoch: 214/500 average psnr: 48.9679756  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 17:25:10,955 - LOG - INFO - Epoch: 216/500 average psnr: 48.9856136  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 17:29:55,581 - LOG - INFO - Epoch: 218/500 average psnr: 48.9533085  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 17:34:39,102 - LOG - INFO - Epoch: 220/500 average psnr: 49.0252365  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 17:39:36,342 - LOG - INFO - Epoch: 222/500 average psnr: 49.0060089  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 17:44:23,310 - LOG - INFO - Epoch: 224/500 average psnr: 49.0033932  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 17:49:05,438 - LOG - INFO - Epoch: 226/500 average psnr: 49.0214298  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 17:53:51,729 - LOG - INFO - Epoch: 228/500 average psnr: 48.8716473  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 17:58:35,076 - LOG - INFO - Epoch: 230/500 average psnr: 48.9834358  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 18:03:33,118 - LOG - INFO - Epoch: 232/500 average psnr: 48.9940765  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 18:08:15,928 - LOG - INFO - Epoch: 234/500 average psnr: 49.0126511  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 18:13:02,314 - LOG - INFO - Epoch: 236/500 average psnr: 49.0390430  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 18:17:39,579 - LOG - INFO - Epoch: 238/500 average psnr: 49.0137608  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 18:22:15,148 - LOG - INFO - Epoch: 240/500 average psnr: 49.0682320  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 18:26:49,937 - LOG - INFO - Epoch: 242/500 average psnr: 48.9964561  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 18:31:25,478 - LOG - INFO - Epoch: 244/500 average psnr: 49.0712166  bestpsnr: 49.0873138, bestepoch: 198
2025-03-28 18:36:00,617 - LOG - INFO - Epoch: 246/500 average psnr: 49.0938305  bestpsnr: 49.0938305, bestepoch: 246
2025-03-28 18:40:46,681 - LOG - INFO - Epoch: 248/500 average psnr: 49.0597740  bestpsnr: 49.0938305, bestepoch: 246
2025-03-28 18:46:39,237 - LOG - INFO - Epoch: 250/500 average psnr: 48.9820240  bestpsnr: 49.0938305, bestepoch: 246
2025-03-28 18:51:28,513 - LOG - INFO - Epoch: 252/500 average psnr: 49.0662132  bestpsnr: 49.0938305, bestepoch: 246
2025-03-28 18:56:15,227 - LOG - INFO - Epoch: 254/500 average psnr: 49.0917397  bestpsnr: 49.0938305, bestepoch: 246
2025-03-28 19:00:52,992 - LOG - INFO - Epoch: 256/500 average psnr: 49.0446606  bestpsnr: 49.0938305, bestepoch: 246
2025-03-28 19:05:43,811 - LOG - INFO - Epoch: 258/500 average psnr: 49.0300842  bestpsnr: 49.0938305, bestepoch: 246
2025-03-28 19:10:34,564 - LOG - INFO - Epoch: 260/500 average psnr: 49.0693024  bestpsnr: 49.0938305, bestepoch: 246
2025-03-28 19:15:20,594 - LOG - INFO - Epoch: 262/500 average psnr: 49.0801235  bestpsnr: 49.0938305, bestepoch: 246
2025-03-28 19:20:08,071 - LOG - INFO - Epoch: 264/500 average psnr: 49.0484295  bestpsnr: 49.0938305, bestepoch: 246
2025-03-28 19:24:59,276 - LOG - INFO - Epoch: 266/500 average psnr: 49.0759766  bestpsnr: 49.0938305, bestepoch: 246
2025-03-28 19:29:52,126 - LOG - INFO - Epoch: 268/500 average psnr: 49.0587032  bestpsnr: 49.0938305, bestepoch: 246
